经度,纬度,时间,太阳高度角,EDNI（W/m2）,EHI（W/m2）,累积辐照量（MJ/m2）,累积辐照量（kWh/m2）
116.55,40.12,202011130000,-68.79,1397.21,0.00,0.00,0.00
116.55,40.12,202011130100,-64.93,1397.21,0.00,0.00,0.00
116.55,40.12,202011130200,-56.29,1397.21,0.00,0.00,0.00
116.55,40.12,202011130300,-45.68,1397.21,0.00,0.00,0.00
116.55,40.12,202011130400,-34.37,1397.21,0.00,0.00,0.00
116.55,40.12,202011130500,-22.92,1397.21,0.00,0.00,0.00
116.55,40.12,202011130600,-11.65,1397.21,0.00,0.00,0.00
116.55,40.12,202011130700,-0.86,1397.21,0.00,0.00,0.00
116.55,40.12,202011130800,9.14,1397.21,221.95,0.00,0.00
116.55,40.12,202011130900,17.91,1397.21,429.73,0.80,0.22
116.55,40.12,202011131000,24.90,1397.21,588.34,2.35,0.65
116.55,40.12,202011131100,29.45,1397.21,686.98,4.46,1.24
116.55,40.12,202011131200,30.97,1397.21,718.90,6.94,1.93
116.55,40.12,202011131300,29.21,1397.21,681.95,9.53,2.65
116.55,40.12,202011131400,24.47,1397.21,578.64,11.98,3.33
116.55,40.12,202011131500,17.32,1397.21,416.01,14.06,3.91
116.55,40.12,202011131600,8.44,1397.21,205.14,15.56,4.32
116.55,40.12,202011131700,-1.62,1397.21,0.00,16.30,4.53
116.55,40.12,202011131800,-12.46,1397.21,0.00,16.30,4.53
116.55,40.12,202011131900,-23.75,1397.21,0.00,16.30,4.53
116.55,40.12,202011132000,-35.21,1397.21,0.00,16.30,4.53
116.55,40.12,202011132100,-46.49,1397.21,0.00,16.30,4.53
116.55,40.12,202011132200,-57.01,1397.21,0.00,16.30,4.53
116.55,40.12,202011132300,-65.42,1397.21,0.00,16.30,4.53
116.55,40.12,202011140000,-69.02,1397.77,0.00,16.30,4.53
116.55,40.12,202011140100,-65.14,1397.77,0.00,16.30,4.53
116.55,40.12,202011140200,-56.46,1397.77,0.00,16.30,4.53
116.55,40.12,202011140300,-45.83,1397.77,0.00,16.30,4.53
116.55,40.12,202011140400,-34.51,1397.77,0.00,16.30,4.53
116.55,40.12,202011140500,-23.06,1397.77,0.00,16.30,4.53
116.55,40.12,202011140600,-11.80,1397.77,0.00,16.30,4.53
116.55,40.12,202011140700,-1.01,1397.77,0.00,16.30,4.53
116.55,40.12,202011140800,8.96,1397.77,217.80,16.30,4.53
116.55,40.12,202011140900,17.72,1397.77,425.37,17.08,4.75
116.55,40.12,202011141000,24.69,1397.77,583.82,18.61,5.17
116.55,40.12,202011141100,29.22,1397.77,682.35,20.72,5.75
116.55,40.12,202011141200,30.73,1397.77,714.25,23.17,6.44
116.55,40.12,202011141300,28.99,1397.77,677.34,25.74,7.15
116.55,40.12,202011141400,24.25,1397.77,574.13,28.18,7.83
116.55,40.12,202011141500,17.13,1397.77,411.67,30.25,8.40
116.55,40.12,202011141600,8.27,1397.77,201.01,31.73,8.81
116.55,40.12,202011141700,-1.78,1397.77,0.00,32.46,9.02
116.55,40.12,202011141800,-12.61,1397.77,0.00,32.46,9.02
116.55,40.12,202011141900,-23.89,1397.77,0.00,32.46,9.02
116.55,40.12,202011142000,-35.35,1397.77,0.00,32.46,9.02
116.55,40.12,202011142100,-46.64,1397.77,0.00,32.46,9.02
116.55,40.12,202011142200,-57.18,1397.77,0.00,32.46,9.02
116.55,40.12,202011142300,-65.63,1397.77,0.00,32.46,9.02
116.55,40.12,202011150000,-69.26,1398.32,0.00,32.46,9.02
116.55,40.12,202011150100,-65.45,1398.32,0.00,32.46,9.02
116.55,40.12,202011150200,-56.79,1398.32,0.00,32.46,9.02
116.55,40.12,202011150300,-46.16,1398.32,0.00,32.46,9.02
116.55,40.12,202011150400,-34.84,1398.32,0.00,32.46,9.02
116.55,40.12,202011150500,-23.38,1398.32,0.00,32.46,9.02
116.55,40.12,202011150600,-12.12,1398.32,0.00,32.46,9.02
116.55,40.12,202011150700,-1.34,1398.32,0.00,32.46,9.02
116.55,40.12,202011150800,8.64,1398.32,209.95,32.46,9.02
116.55,40.12,202011150900,17.39,1398.32,418.02,33.21,9.23
116.55,40.12,202011151000,24.38,1398.32,577.23,34.72,9.64
116.55,40.12,202011151100,28.94,1398.32,676.72,36.79,10.22
116.55,40.12,202011151200,30.50,1398.32,709.73,39.23,10.90
116.55,40.12,202011151300,28.82,1398.32,673.99,41.79,11.61
116.55,40.12,202011151400,24.14,1398.32,571.95,44.21,12.28
116.55,40.12,202011151500,17.07,1398.32,410.55,46.27,12.85
116.55,40.12,202011151600,8.26,1398.32,200.80,47.75,13.26
116.55,40.12,202011151700,-1.76,1398.32,0.00,48.47,13.46
116.55,40.12,202011151800,-12.57,1398.32,0.00,48.47,13.46
116.55,40.12,202011151900,-23.84,1398.32,0.00,48.47,13.46
116.55,40.12,202011152000,-35.29,1398.32,0.00,48.47,13.46
116.55,40.12,202011152100,-46.60,1398.32,0.00,48.47,13.46
116.55,40.12,202011152200,-57.18,1398.32,0.00,48.47,13.46
116.55,40.12,202011152300,-65.72,1398.32,0.00,48.47,13.46
116.55,40.12,202011160000,-69.48,1398.86,0.00,48.47,13.46
116.55,40.12,202011160100,-65.65,1398.86,0.00,48.47,13.46
116.55,40.12,202011160200,-56.95,1398.86,0.00,48.47,13.46
116.55,40.12,202011160300,-46.29,1398.86,0.00,48.47,13.46
116.55,40.12,202011160400,-34.97,1398.86,0.00,48.47,13.46
116.55,40.12,202011160500,-23.52,1398.86,0.00,48.47,13.46
116.55,40.12,202011160600,-12.26,1398.86,0.00,48.47,13.46
116.55,40.12,202011160700,-1.50,1398.86,0.00,48.47,13.46
116.55,40.12,202011160800,8.47,1398.86,206.00,48.47,13.46
116.55,40.12,202011160900,17.21,1398.86,413.86,49.21,13.67
116.55,40.12,202011161000,24.18,1398.86,572.91,50.70,14.08
116.55,40.12,202011161100,28.73,1398.86,672.30,52.77,14.66
116.55,40.12,202011161200,30.28,1398.86,705.27,55.19,15.33
116.55,40.12,202011161300,28.60,1398.86,669.57,57.72,16.03
116.55,40.12,202011161400,23.94,1398.86,567.63,60.14,16.70
116.55,40.12,202011161500,16.89,1398.86,406.40,62.18,17.27
116.55,40.12,202011161600,8.09,1398.86,196.86,63.64,17.68
116.55,40.12,202011161700,-1.91,1398.86,0.00,64.35,17.88
116.55,40.12,202011161800,-12.71,1398.86,0.00,64.35,17.88
116.55,40.12,202011161900,-23.97,1398.86,0.00,64.35,17.88
116.55,40.12,202011162000,-35.43,1398.86,0.00,64.35,17.88
116.55,40.12,202011162100,-46.74,1398.86,0.00,64.35,17.88
116.55,40.12,202011162200,-57.34,1398.86,0.00,64.35,17.88
116.55,40.12,202011162300,-65.92,1398.86,0.00,64.35,17.88
116.55,40.12,202011170000,-69.70,1399.38,0.00,64.35,17.88
116.55,40.12,202011170100,-65.84,1399.38,0.00,64.35,17.88
116.55,40.12,202011170200,-57.10,1399.38,0.00,64.35,17.88
116.55,40.12,202011170300,-46.43,1399.38,0.00,64.35,17.88
116.55,40.12,202011170400,-35.09,1399.38,0.00,64.35,17.88
116.55,40.12,202011170500,-23.64,1399.38,0.00,64.35,17.88
116.55,40.12,202011170600,-12.40,1399.38,0.00,64.35,17.88
116.55,40.12,202011170700,-1.64,1399.38,0.00,64.35,17.88
116.55,40.12,202011170800,8.31,1399.38,202.14,64.35,17.88
116.55,40.12,202011170900,17.03,1399.38,409.80,65.08,18.08
116.55,40.12,202011171000,23.98,1399.38,568.69,66.55,18.49
116.55,40.12,202011171100,28.51,1399.38,667.99,68.60,19.06
116.55,40.12,202011171200,30.06,1399.38,700.92,71.01,19.72
116.55,40.12,202011171300,28.38,1399.38,665.26,73.53,20.42
116.55,40.12,202011171400,23.74,1399.38,563.42,75.92,21.09
116.55,40.12,202011171500,16.71,1399.38,402.34,77.95,21.65
116.55,40.12,202011171600,7.93,1399.38,193.01,79.40,22.06
116.55,40.12,202011171700,-2.06,1399.38,0.00,80.10,22.25
116.55,40.12,202011171800,-12.84,1399.38,0.00,80.10,22.25
116.55,40.12,202011171900,-24.10,1399.38,0.00,80.10,22.25
116.55,40.12,202011172000,-35.55,1399.38,0.00,80.10,22.25
116.55,40.12,202011172100,-46.87,1399.38,0.00,80.10,22.25
116.55,40.12,202011172200,-57.50,1399.38,0.00,80.10,22.25
116.55,40.12,202011172300,-66.11,1399.38,0.00,80.10,22.25
116.55,40.12,202011180000,-69.91,1399.90,0.00,80.10,22.25
116.55,40.12,202011180100,-66.02,1399.90,0.00,80.10,22.25
116.55,40.12,202011180200,-57.25,1399.90,0.00,80.10,22.25
116.55,40.12,202011180300,-46.56,1399.90,0.00,80.10,22.25
116.55,40.12,202011180400,-35.22,1399.90,0.00,80.10,22.25
116.55,40.12,202011180500,-23.77,1399.90,0.00,80.10,22.25
116.55,40.12,202011180600,-12.53,1399.90,0.00,80.10,22.25
116.55,40.12,202011180700,-1.79,1399.90,0.00,80.10,22.25
116.55,40.12,202011180800,8.15,1399.90,198.38,80.10,22.25
116.55,40.12,202011180900,16.85,1399.90,405.84,80.81,22.45
116.55,40.12,202011181000,23.78,1399.90,564.57,82.27,22.85
116.55,40.12,202011181100,28.30,1399.90,663.77,84.30,23.42
116.55,40.12,202011181200,29.85,1399.90,696.68,86.69,24.08
116.55,40.12,202011181300,28.18,1399.90,661.05,89.20,24.78
116.55,40.12,202011181400,23.55,1399.90,559.31,91.58,25.44
116.55,40.12,202011181500,16.53,1399.90,398.39,93.59,26.00
116.55,40.12,202011181600,7.77,1399.90,189.26,95.03,26.40
116.55,40.12,202011181700,-2.20,1399.90,0.00,95.71,26.59
116.55,40.12,202011181800,-12.97,1399.90,0.00,95.71,26.59
116.55,40.12,202011181900,-24.23,1399.90,0.00,95.71,26.59
116.55,40.12,202011182000,-35.68,1399.90,0.00,95.71,26.59
116.55,40.12,202011182100,-47.00,1399.90,0.00,95.71,26.59
116.55,40.12,202011182200,-57.65,1399.90,0.00,95.71,26.59
116.55,40.12,202011182300,-66.30,1399.90,0.00,95.71,26.59
116.55,40.12,202011190000,-70.12,1400.41,0.00,95.71,26.59
116.55,40.12,202011190100,-66.20,1400.41,0.00,95.71,26.59
116.55,40.12,202011190200,-57.39,1400.41,0.00,95.71,26.59
116.55,40.12,202011190300,-46.69,1400.41,0.00,95.71,26.59
116.55,40.12,202011190400,-35.34,1400.41,0.00,95.71,26.59
116.55,40.12,202011190500,-23.89,1400.41,0.00,95.71,26.59
116.55,40.12,202011190600,-12.66,1400.41,0.00,95.71,26.59
116.55,40.12,202011190700,-1.93,1400.41,0.00,95.71,26.59
116.55,40.12,202011190800,7.99,1400.41,194.73,95.71,26.59
116.55,40.12,202011190900,16.68,1400.41,401.98,96.41,26.78
116.55,40.12,202011191000,23.60,1400.41,560.56,97.86,27.18
116.55,40.12,202011191100,28.10,1400.41,659.67,99.88,27.74
116.55,40.12,202011191200,29.64,1400.41,692.54,102.25,28.40
116.55,40.12,202011191300,27.98,1400.41,656.95,104.74,29.10
116.55,40.12,202011191400,23.36,1400.41,555.30,107.11,29.75
116.55,40.12,202011191500,16.36,1400.41,394.54,109.11,30.31
116.55,40.12,202011191600,7.62,1400.41,185.61,110.53,30.70
116.55,40.12,202011191700,-2.34,1400.41,0.00,111.20,30.89
116.55,40.12,202011191800,-13.10,1400.41,0.00,111.20,30.89
116.55,40.12,202011191900,-24.35,1400.41,0.00,111.20,30.89
116.55,40.12,202011192000,-35.80,1400.41,0.00,111.20,30.89
116.55,40.12,202011192100,-47.13,1400.41,0.00,111.20,30.89
116.55,40.12,202011192200,-57.80,1400.41,0.00,111.20,30.89
116.55,40.12,202011192300,-66.48,1400.41,0.00,111.20,30.89
116.55,40.12,202011200000,-70.32,1400.91,0.00,111.20,30.89
